Município;UF;Região;PIB (1000 R$);Participação PIB Brasil (%)
São Paulo;SP;Sudeste;828980608;9.2
Rio de Janeiro;RJ;Sudeste;359634753;3.99
Brasília;DF;Centro-Oeste;286943782;3.18
Belo Horizonte;MG;Sudeste;105829675;1.17
Manaus;AM;Norte;103281436;1.15
Curitiba;PR;Sul;98003704;1.09
Osasco;SP;Sudeste;86111260;0.96
Maricá;RJ;Sudeste;85814296;0.95
Porto Alegre;RS;Sul;81562848;0.91
Guarulhos;SP;Sudeste;77376467;0.86
Fortaleza;CE;Nordeste;73436128;0.81
Campinas;SP;Sudeste;72946775;0.81
Niterói;RJ;Sudeste;66345730;0.74
Salvador;BA;Nordeste;62954487;0.7
Goiânia;GO;Centro-Oeste;59865990;0.66
São Bernardo do Campo;SP;Sudeste;58277014;0.65
Barueri;SP;Sudeste;58027667;0.64
Jundiaí;SP;Sudeste;57670893;0.64
Recife;PE;Nordeste;54970305;0.61
Duque de Caxias;RJ;Sudeste;53136666;0.59
Paulínia;SP;Sudeste;52389437;0.58
Parauapebas;PA;Norte;49763040;0.55
Itajaí;SC;Sul;47754802;0.53
São José dos Campos;SP;Sudeste;45208808;0.5
Joinville;SC;Sul;45069864;0.5
Sorocaba;SP;Sudeste;44533398;0.49
Uberlândia;MG;Sudeste;43129285;0.48
Saquarema;RJ;Sudeste;42178208;0.47
Ribeirão Preto;SP;Sudeste;39955572;0.44
Serra;ES;Sudeste;37279406;0.41
Campos dos Goytacazes;RJ;Sudeste;37179860;0.41
São Luís;MA;Nordeste;36535226;0.41
Contagem;MG;Sudeste;36479765;0.4
Canaã dos Carajás;PA;Norte;34989610;0.39
Campo Grande;MS;Centro-Oeste;34731151;0.39
Piracicaba;SP;Sudeste;34555724;0.38
Camaçari;BA;Nordeste;33971705;0.38
Belém;PA;Norte;33467126;0.37
Betim;MG;Sudeste;33132919;0.37
Santo André;SP;Sudeste;32620295;0.36
Caxias do Sul;RS;Sul;31688460;0.35
Vitória;ES;Sudeste;31423573;0.35
Cuiabá;MT;Centro-Oeste;29746934;0.33
Maceió;AL;Nordeste;27484016;0.3
São José dos Pinhais;PR;Sul;27009658;0.3
Araucária;PR;Sul;25267382;0.28
Natal;RN;Nordeste;24186262;0.27
Santos;SP;Sudeste;24090173;0.27
Teresina;PI;Nordeste;23895231;0.27
Londrina;PR;Sul;23604749;0.26
Florianópolis;SC;Sul;23555034;0.26
Indaiatuba;SP;Sudeste;22817117;0.25
Cajamar;SP;Sudeste;22713160;0.25
Maringá;PR;Sul;22656733;0.25
João Pessoa;PB;Nordeste;22244284;0.25
Canoas;RS;Sul;21995362;0.24
Cubatão;SP;Sudeste;21946472;0.24
Nova Lima;MG;Sudeste;21042646;0.23
São José do Rio Preto;SP;Sudeste;20962617;0.23
Mauá;SP;Sudeste;20776213;0.23
Blumenau;SC;Sul;20576440;0.23
Uberaba;MG;Sudeste;20397519;0.23
São Gonçalo;RJ;Sudeste;20324883;0.23
Juiz de Fora;MG;Sudeste;20297559;0.23
Porto Velho;RO;Norte;20059522;0.22
Louveira;SP;Sudeste;19677151;0.22
Volta Redonda;RJ;Sudeste;19671281;0.22
Mogi das Cruzes;SP;Sudeste;19604517;0.22
Ponta Grossa;PR;Sul;19490853;0.22
Foz do Iguaçu;PR;Sul;18969765;0.21
Diadema;SP;Sudeste;18484356;0.21
Aracaju;SE;Nordeste;18405678;0.2
Hortolândia;SP;Sudeste;18377822;0.2
Nova Iguaçu;RJ;Sudeste;17794593;0.2
Anápolis;GO;Centro-Oeste;17788289;0.2
Macaé;RJ;Sudeste;17747016;0.2
Ipatinga;MG;Sudeste;17609177;0.2
Rondonópolis;MT;Centro-Oeste;17295644;0.19
Feira de Santana;BA;Nordeste;17282198;0.19
Aparecida de Goiânia;GO;Centro-Oeste;16979984;0.19
Bauru;SP;Sudeste;16721368;0.19
Rio Verde;GO;Centro-Oeste;16306271;0.18
Vila Velha;ES;Sudeste;16305842;0.18
Taubaté;SP;Sudeste;16199986;0.18
Sumaré;SP;Sudeste;16179892;0.18
Jaboatão dos Guararapes;PE;Nordeste;16133556;0.18
Cotia;SP;Sudeste;16114165;0.18
Jacareí;SP;Sudeste;16094435;0.18
Limeira;SP;Sudeste;16060739;0.18
São Sebastião;SP;Sudeste;16008645;0.18
Cascavel;PR;Sul;15787528;0.18
Petrópolis;RJ;Sudeste;15665448;0.17
São Caetano do Sul;SP;Sudeste;15566768;0.17
Americana;SP;Sudeste;15217280;0.17
Itabira;MG;Sudeste;14971929;0.17
Ipojuca;PE;Nordeste;14929346;0.17
Suzano;SP;Sudeste;14811514;0.16
Embu das Artes;SP;Sudeste;14314754;0.16
São Carlos;SP;Sudeste;14141854;0.16
Jaguariúna;SP;Sudeste;13981302;0.16
